2D reactive Euler 
Nx, Ny      = 3500, 400
domain x    = [-50, 300]
domain y    = [0, 40]
final_time  = 30
OpenMP      = enabled, threads=32
scheme      = HLLC + MUSCL/MC + SSP-RK3 + Strang reaction
step=   1440 t=  1.970723 dt=1.320487e-03 pmax=72.2716 shock_x=13.1953
step=   1460 t=  1.997134 dt=1.320430e-03 pmax=72.1739 shock_x=13.3643
step=   1480 t=  2.022444 dt=1.320336e-03 pmax=72.1554 shock_x=13.5223
step=   1500 t=  2.048845 dt=1.320305e-03 pmax=72.1361 shock_x=13.6900
step=   1520 t=  2.075243 dt=1.319710e-03 pmax=72.1175 shock_x=13.8560
step=   1540 t=  2.101633 dt=1.319250e-03 pmax=72.0990 shock_x=14.0245
step=   1560 t=  2.128020 dt=1.319040e-03 pmax=72.9300 shock_x=14.1880
step=   1580 t=  2.154403 dt=1.318858e-03 pmax=74.3346 shock_x=14.3563
step=   1600 t=  2.180778 dt=1.318599e-03 pmax=75.4484 shock_x=14.5210
step=   1620 t=  2.207150 dt=1.318459e-03 pmax=76.1845 shock_x=14.6880
step=   1640 t=  2.233518 dt=1.318396e-03 pmax=75.9195 shock_x=14.8533
step=   1660 t=  2.259226 dt=1.318279e-03 pmax=74.4005 shock_x=15.0152
step=   1680 t=  2.285587 dt=1.317874e-03 pmax=76.8993 shock_x=15.1803
step=   1700 t=  2.311942 dt=1.317552e-03 pmax=78.2993 shock_x=15.3470
step=   1720 t=  2.338298 dt=1.317788e-03 pmax=78.4382 shock_x=15.5103
step=   1740 t=  2.364651 dt=1.317456e-03 pmax=77.7888 shock_x=15.6763
step=   1760 t=  2.391000 dt=1.317402e-03 pmax=75.7993 shock_x=15.8410
step=   1780 t=  2.417347 dt=1.317284e-03 pmax=75.6870 shock_x=16.0065
step=   1800 t=  2.443691 dt=1.317148e-03 pmax=76.7204 shock_x=16.1720
step=   1820 t=  2.470034 dt=1.317089e-03 pmax=76.5550 shock_x=16.3340
step=   1840 t=  2.496375 dt=1.317026e-03 pmax=75.3278 shock_x=16.4985
step=   1860 t=  2.522390 dt=1.317022e-03 pmax=72.8918 shock_x=16.6623
step=   1880 t=  2.548730 dt=1.317003e-03 pmax=72.7259 shock_x=16.8263
step=   1900 t=  2.575071 dt=1.317035e-03 pmax=73.7852 shock_x=16.9908
step=   1920 t=  2.601411 dt=1.317030e-03 pmax=73.8778 shock_x=17.1568
step=   1940 t=  2.627752 dt=1.317063e-03 pmax=72.4267 shock_x=17.3203
step=   1960 t=  2.654093 dt=1.317083e-03 pmax=69.6238 shock_x=17.4875
step=   1980 t=  2.680435 dt=1.317043e-03 pmax=70.7963 shock_x=17.6508
step=   2000 t=  2.706776 dt=1.317031e-03 pmax=72.3275 shock_x=17.8145
step=   2020 t=  2.733116 dt=1.316980e-03 pmax=72.7400 shock_x=17.9805
step=   2040 t=  2.759219 dt=1.316952e-03 pmax=71.1086 shock_x=18.1433
step=   2060 t=  2.785558 dt=1.316978e-03 pmax=68.5671 shock_x=18.3075
step=   2080 t=  2.811898 dt=1.317006e-03 pmax=69.6957 shock_x=18.4710
step=   2100 t=  2.838239 dt=1.317088e-03 pmax=70.8800 shock_x=18.6355
step=   2120 t=  2.864582 dt=1.317208e-03 pmax=71.0261 shock_x=18.7993
step=   2140 t=  2.890923 dt=1.316894e-03 pmax=69.7798 shock_x=18.9633
step=   2160 t=  2.917257 dt=1.316511e-03 pmax=67.3092 shock_x=19.1290
step=   2180 t=  2.943584 dt=1.316247e-03 pmax=69.1601 shock_x=19.2933
step=   2200 t=  2.969908 dt=1.316206e-03 pmax=70.1472 shock_x=19.4570
step=   2220 t=  2.996234 dt=1.316385e-03 pmax=70.0459 shock_x=19.6215
step=   2240 t=  3.022381 dt=1.316749e-03 pmax=68.6165 shock_x=19.7838
step=   2260 t=  3.048721 dt=1.317203e-03 pmax=66.2248 shock_x=19.9480
step=   2280 t=  3.075070 dt=1.317699e-03 pmax=66.9924 shock_x=20.1108
step=   2300 t=  3.101430 dt=1.318324e-03 pmax=67.6489 shock_x=20.2763
step=   2320 t=  3.127804 dt=1.319038e-03 pmax=67.4169 shock_x=20.4410
step=   2340 t=  3.154192 dt=1.319784e-03 pmax=66.1022 shock_x=20.6078
step=   2360 t=  3.180595 dt=1.320502e-03 pmax=63.6102 shock_x=20.7718
step=   2380 t=  3.207012 dt=1.321124e-03 pmax=64.3392 shock_x=20.9365
step=   2400 t=  3.233441 dt=1.321746e-03 pmax=64.7308 shock_x=21.0993
step=   2420 t=  3.259256 dt=1.322361e-03 pmax=64.3821 shock_x=21.2615
step=   2440 t=  3.285704 dt=1.321619e-03 pmax=63.0906 shock_x=21.4280
step=   2460 t=  3.312107 dt=1.318930e-03 pmax=61.0621 shock_x=21.5923
step=   2480 t=  3.338459 dt=1.316405e-03 pmax=61.0861 shock_x=21.7580
step=   2500 t=  3.364762 dt=1.314060e-03 pmax=61.4933 shock_x=21.9223
